error_code,category,description,remedy,error_type,source_file,ingested_at,content
16#0000,,No error,,Modbus | PtP | USS,modbus | ptp | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#0000
category: 
error_type: Modbus | PtP | USS
description: No error
remedy:"
16#8181,Configuration error of the interface - Modbus_Comm_Load,The module does not support this data transmission rate. | Data type error,Select a valid data transmission rate for the module at the BAUD parameter. | Select a suitable data type. The following are valid: Real Word Double word,Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8181
category: Configuration error of the interface - Modbus_Comm_Load
error_type: Modbus | USS
description: The module does not support this data transmission rate. | Data type error
remedy: Select a valid data transmission rate for the module at the BAUD parameter. | Select a suitable data type. The following are valid: Real Word Double word"
16#8182,Configuration error of the interface - Modbus_Comm_Load,"The module does not support this parity setting. | Data type error: ""Double word"" or ""Real"" may not be returned for the ""Word"" request.","Select a suitable value for ""Parity"" at the PARITY parameter. The following are valid: None (1) Even (2) Odd (3) Mark (4) Space (5) Any (6) | Check the response frame of the drive.",Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8182
category: Configuration error of the interface - Modbus_Comm_Load
error_type: Modbus | USS
description: The module does not support this parity setting. | Data type error: ""Double word"" or ""Real"" may not be returned for the ""Word"" request.
remedy: Select a suitable value for ""Parity"" at the PARITY parameter. The following are valid: None (1) Even (2) Odd (3) Mark (4) Space (5) Any (6) | Check the response frame of the drive."
16#8183,Configuration error of the interface - Modbus_Comm_Load,"The module does not support this type of data flow control. | Data type error: ""Word"" may not be returned for the ""Double word"" or ""Real"" request.",Select a valid data flow control for the module at the FLOW_CTRL parameter. | Check the response frame of the drive.,Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8183
category: Configuration error of the interface - Modbus_Comm_Load
error_type: Modbus | USS
description: The module does not support this type of data flow control. | Data type error: ""Word"" may not be returned for the ""Double word"" or ""Real"" request.
remedy: Select a valid data flow control for the module at the FLOW_CTRL parameter. | Check the response frame of the drive."
16#8184,Configuration error of the interface - Modbus_Comm_Load,"Invalid value for ""Response timeout"". | Checksum error in response of drive","Select a suitable value for ""Response timeout"" at the RESP_TO parameter. Valid range of values: 1 to 65535 (ms) | Check the drive and the communication connection.",Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8184
category: Configuration error of the interface - Modbus_Comm_Load
error_type: Modbus | USS
description: Invalid value for ""Response timeout"". | Checksum error in response of drive
remedy: Select a suitable value for ""Response timeout"" at the RESP_TO parameter. Valid range of values: 1 to 65535 (ms) | Check the drive and the communication connection."
16#8280,"Configuration error of the interface - Modbus_Comm_Load | Configuration error - Modbus_Slave | Configuration error - Modbus_Master | Error codes, general",Negative acknowledgment when reading module,"Check the input at the PORT parameter. You can find more detailed information on error causes in the Send_Config.RDREC.STATUS or Receive_Config.RDREC.STATUS static parameters or RDREC.STATUS and in the description of the SFB RDREC. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Send_P2P.RDREC.STATUS or Receive_P2P.RDREC.STATUS, and in the description of the SFB RDREC. | You can find more detailed information on error causes in theRDREC.STATUS static parameters and in the description of the SFB RDREC. Check the input at the PORT parameter Set the COM_RST parameter prior to the initial call. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Port_Config.RDREC.STATUS, Send_Config.RDREC.STATUS , Receive_Config.RDREC.STATUS , Send_P2P.RDREC.STATUS or Receive_P2P.RDREC.STATUS, and in the description of the SFB RDREC.",Modbus | PtP | USS,modbus | ptp | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8280
category: Configuration error of the interface - Modbus_Comm_Load | Configuration error - Modbus_Slave | Configuration error - Modbus_Master | Error codes, general
error_type: Modbus | PtP | USS
description: Negative acknowledgment when reading module
remedy: Check the input at the PORT parameter. You can find more detailed information on error causes in the Send_Config.RDREC.STATUS or Receive_Config.RDREC.STATUS static parameters or RDREC.STATUS and in the description of the SFB RDREC. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Send_P2P.RDREC.STATUS or Receive_P2P.RDREC.STATUS, and in the description of the SFB RDREC. | You can find more detailed information on error causes in theRDREC.STATUS static parameters and in the description of the SFB RDREC. Check the input at the PORT parameter Set the COM_RST parameter prior to the initial call. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Port_Config.RDREC.STATUS, Send_Config.RDREC.STATUS , Receive_Config.RDREC.STATUS , Send_P2P.RDREC.STATUS or Receive_P2P.RDREC.STATUS, and in the description of the SFB RDREC."
16#8281,"Configuration error of the interface - Modbus_Comm_Load | Configuration error - Modbus_Slave | Configuration error - Modbus_Master | Error codes, general",Negative acknowledgment when writing module,"Check the input at the PORT parameter. You can find more detailed information on error causes in the Send_Config.WRREC.STATUS or Receive_Config.WRREC.STATUS static parameters or WRREC.STATUS and in the description of the SFB WRREC. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Send_P2P.WRREC.STATUS or Receive_P2P.WRREC.STATUS, and in the description of the SFB WRREC. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Send_P2P.WRREC.STATUS or Receive_P2P.WRREC.STATUS or Receive_Reset and in the description of the SFB WRREC. | Check the input at the PORT parameter You can find more detailed information on error causes in the WRREC.STATUS static parameters and in the description of the SFB WRREC. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Port_Config.WRREC.STATUS, Send_Config.WRREC.STATUS , Receive_Config.WRREC.STATUS , Send_P2P.RDREC.STATUS or Receive_P2P.RDREC.STATUS, and in the description of the SFB WRREC.",Modbus | PtP | USS,modbus | ptp | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8281
category: Configuration error of the interface - Modbus_Comm_Load | Configuration error - Modbus_Slave | Configuration error - Modbus_Master | Error codes, general
error_type: Modbus | PtP | USS
description: Negative acknowledgment when writing module
remedy: Check the input at the PORT parameter. You can find more detailed information on error causes in the Send_Config.WRREC.STATUS or Receive_Config.WRREC.STATUS static parameters or WRREC.STATUS and in the description of the SFB WRREC. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Send_P2P.WRREC.STATUS or Receive_P2P.WRREC.STATUS, and in the description of the SFB WRREC. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Send_P2P.WRREC.STATUS or Receive_P2P.WRREC.STATUS or Receive_Reset and in the description of the SFB WRREC. | Check the input at the PORT parameter You can find more detailed information on error causes in the WRREC.STATUS static parameters and in the description of the SFB WRREC. | Check the input at the PORT parameter. You can find more detailed information on error causes in the static parameters Port_Config.WRREC.STATUS, Send_Config.WRREC.STATUS , Receive_Config.WRREC.STATUS , Send_P2P.RDREC.STATUS or Receive_P2P.RDREC.STATUS, and in the description of the SFB WRREC."
16#8282,"Configuration error of the interface - Modbus_Comm_Load | Error codes, general",Module not available,Check the input at the PORT parameter and ensure that the module can be reached.,Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8282
category: Configuration error of the interface - Modbus_Comm_Load | Error codes, general
error_type: Modbus | PtP
description: Module not available
remedy: Check the input at the PORT parameter and ensure that the module can be reached."
16#8186,Configuration error - Modbus_Slave | Configuration error - Modbus_Master,Invalid slave address | Invalid station address | Setpoint error,Select a suitable slave address at the MB_ADDR parameter. The following are valid: 1-247 at standard address area; 1-65535 at extended address area (0 is reserved for Broadcast) | Select a suitable station address at the MB_ADDR parameter. The following are valid: 1-247 at standard address area; 1-65535 at extended address area (0 is reserved for Broadcast) | Valid setpoint range: -200% to +200%,Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8186
category: Configuration error - Modbus_Slave | Configuration error - Modbus_Master
error_type: Modbus | USS
description: Invalid slave address | Invalid station address | Setpoint error
remedy: Select a suitable slave address at the MB_ADDR parameter. The following are valid: 1-247 at standard address area; 1-65535 at extended address area (0 is reserved for Broadcast) | Select a suitable station address at the MB_ADDR parameter. The following are valid: 1-247 at standard address area; 1-65535 at extended address area (0 is reserved for Broadcast) | Valid setpoint range: -200% to +200%"
16#8187,Configuration error - Modbus_Slave,Invalid value at MB_HOLD_REG parameter | Incorrect drive number returned,Select a suitable value for the hold register at the MB_HOLD_REG parameter. | Check the response frame of the drive.,Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8187
category: Configuration error - Modbus_Slave
error_type: Modbus | USS
description: Invalid value at MB_HOLD_REG parameter | Incorrect drive number returned
remedy: Select a suitable value for the hold register at the MB_HOLD_REG parameter. | Check the response frame of the drive."
